,CyanoAq,CyanoDCM,HILICPos,HILICNeg
PPM,2.5,2.5,5,5
SNthresh,10,10,10,10
PREFILTERlow,3,3,3,3
PREFILTERhigh,10000,10000,6000,6000
MZDIFF,0.002,0.002,0.002,0.002
PEAKWIDTHlow,5.9,5.9,10,10
PEAKWIDTHhigh,13.5,13.5,150,150
BW,3,3,4,4
BW2,1,1,2,2
MINFRAC,0.25,0.25,0,0
MINSAMP,3,3,2,2
MZWID,0.00307,0.00307,0.004,0.004
MAX,52.8,52.8,50,50
MISSING,9,9,0.25,0.25
EXTRA,10,10,16,16
RTMIN,30,30,30,30
RTMAX,1070,1070,1494,1494
RTITs,1,1,3,3
RTPLOT,60,60,180,180
RTFlex,0.5,0.5,2,2
GAPInit,0.64,0.64,0.64,0.64
GAPExtend,2.1,2.1,2.1,2.1
profStep,1,1,1,1
POLARITY,1,2,3,4
COLUMN,1,2,3,4
