,Compound.Type,Column,Compound.Name,Emperical.Formula,RT,mz,z,polarity,,Confidence.Level,RTrange
1,Vitamin,RP,Pyridoxamine,C8H12N2O2,0.65,169.09715,1,positive,,Level 1,0.2
2,Vitamin (B1-derivative),RP,Thiamine monophosphate,C12H18N4O4PS,0.67,345.07809,1,positive,,Level 1,0.2
3,Vitamin (B1-derivative),RP,thiamine pyrophosphate,C12H19N4O7P2S,0.67,425.34141,1,positive,,Level 1,0.2
4,Vitamin (B-like),RP,Choline,C5H14NO,0.69,104.10699,1,positive,,Level 1,0.2
5,Amino Acid derivative,RP,Dimethyl glycine,C4H9NO2,0.69,104.07061,1,positive,,Level 1,0.2
6,Vitamin,RP,Vitamin B1,C12H17N4OS,0.69,265.1119,1,positive,,Level 1,0.2
7,Amino Acid synthesis,RP,Adenosyl Methionine,C15H22N6O5S,0.71,399.14451,1,positive,,Level 1,0.2
8,Amino Acid derivative,RP,Betaine,C5H11NO2,0.71,118.08626,1,positive,,Level 1,0.2
9,Vitamin,RP,Pyridoxal Phosphate,C8H10NO6P,0.78,248.03185,1,positive,,Level 1,0.2
10,Vitamin,RP,Pyridoxal,C8H9NO3,0.86,168.06552,1,positive,wrong mass?,Level 1,0.2
11,Antioxidant,RP,Glutathione,C10H17N3O6S,0.87,308.09108,1,positive,,Level 1,0.2
12,Vitamin,RP,Vitamin B3,C6H5NO2,0.88,124.0393,1,positive,,Level 1,0.2
13,Vitamin,RP,Vitamin B6,C8H11NO3,0.88,170.08117,1,positive,,Level 1,0.2
14,Amino Acid synthesis,RP,Adenosyl Homocysteine,C14H20N6O5S,0.96,385.12886,1,positive,,Level 1,0.2
15,Vitamin,RP,Sulfurol,C6H9NOS,1,144.04776,1,positive,,Level 1,0.2
16,Purine,RP,Xanthine,C5H4N4O2,1.11,153.0412,1,positive,,Level 1,0.2
17,Internal Standard,RP,"L-Phenylalanine, D8",C9D8H3O2,1.15,160.133395,1,positive,,Level 1,0.2
18,Amino Acid,RP,Phenylalanine,C9H11NO2,1.15,166.08626,1,positive,,Level 1,0.2
19,Vitamin,RP,Vitamin B5,C9H17NO5,1.17,220.11795,1,positive,,Level 1,0.2
20,Amino Acid,RP,Kynurenine,C10H12N2O3,1.27,209.0921,1,positive,,Level 1,0.2
21,Quorum sensing,RP,C4-HSL,C8H13NO3,1.47,172.09682,1,positive,,Level 1,0.2
22,Quorum sensing,RP,3OC6-HSL,C10H15NO4,1.96,214.10738,1,positive,,Level 1,0.2
23,Lignin,RP,Aminobenzoic Acid,C7H7NO2,2,138.05496,1,positive,,Level 1,0.2
24,Phytohormone,RP,DHZ,C10H15N5O,2.01,neg,-1,negative,,Level 1,0.2
25,Phytohormone,RP,Zeatin,C10H13N5O,2.02,neg,-1,negative,,Level 1,0.2
26,Amino Acid,RP,Tryptophan,C11H12N2O2,2.07,205.09715,1,positive,,Level 1,0.2
27,Internal Standard,RP,"L-Tryptophan, D3",C11D3H9N2O2,2.23,208.115984,1,positive,,Level 1,0.2
28,Lignin,RP,"3,4-Dihydroxybenzoic acid",C7H6O4,2.55,153.0185,-1,negative,,Level 1,0.2
29,Phytohormone,RP,Tryptamine,C10H12N2,2.55,161.10732,1,positive,,Level 1,0.2
30,Internal Standard,RP,"Tryptamine Hydrochloride, D4",C10D4H8N2,2.55,164.124606,1,positive,,Level 1,0.2
31,Toxin ,RP,Domoic Acid,C15H21NO6,2.72,312.14416,1,positive,,Level 1,0.2
32,Lignin,RP,Ethyl 3 aminobenzoate,C9H11NO2,3.365,166.08626,1,positive,,Level 1,0.2
33,Phytohormone,RP,Kinetin,C10H9NO2,3.37,216.08799,1,positive,,Level 1,0.2
34,Vitamin synthesis,RP,Dimethyl-benzimidazole,C9H10N2,3.38,147.09167,1,positive,,Level 1,0.2
35,Vitamin,RP,Vitamin B7,C10H16N2O3S,3.75,245.09544,1,positive,,Level 1,0.2
36,Lignin,RP,4-hydroxybenzaldehyde,C7H6O2,3.775,neg,-1,negative,,Level 1,0.2
37,Purine,RP,Caffeine,C8H10N4O2,3.85,195.08765,1,positive,,Level 1,0.2
38,Phytohormone,RP,Indole 3 acetamide,C10H10N2O,4.02,175.08659,1,positive,,Level 1,0.2
39,Quorum sensing,RP,C6-HSL,C10H17NO3,4.06,200.12812,1,positive,,Level 1,0.2
40,Lignin,RP,Vanillic Acid,C8H8O4,4.115,169.04954,1,positive,,Level 1,0.2
41,Phytohormone,RP,2iP,C10H13N5,4.18,neg,-1,negative,,Level 1,0.2
42,Vitamin B12,RP,Hydroxo B12,C62H89CoN13O15P,4.35,664.7861,2,positive,,Level 1,0.2
43,Internal Standard,RP,"Riboflavin-dioxopyrimidine, 13C4, 15N2",C(13)4C13H20N(15)2N2O6,4.39,383.15305,1,positive,,Level 1,0.2
44,Vitamin,RP,Vitamin B2,C17H20N4O6,4.39,377.14556,1,positive,,Level 1,0.2
45,Vitamin,RP,Desthiobiotin,C10H18N2O3,4.5,215.13902,1,positive,,Level 1,0.2
46,Vitamin,RP,Vitamin B9,C19H19N7O6,4.51,442.14696,1,positive,,Level 1,0.2
47,Phytohormone,RP,Indole 3 Lactic Acid,C11H11NO3,4.65,206.08117,1,positive,,Level 1,0.2
48,Lignin,RP,Vanillin,C8H8O3,4.69,153.05462,1,positive,,Level 1,0.2
49,Lignin,RP,Caffeic Acid,C9H8O4,4.83,neg,-1,negative,,Level 1,0.2
50,Lignin,RP,Syringic Acid,C9H10O5,4.88,199.0601,1,positive,,Level 1,0.2
51,Vitamin B12,RP,RP B12,C63H88CoN14O14P,5.02,678.2894,2,positive,,Level 1,0.2
52,Phytohormone,RP,GA3,C19H22O6,5.16,neg,-1,negative,,Level 1,0.2
53,Quorum sensing,RP,3OC8-HSL,C12H19NO4,5.28,242.1392,1,positive,,Level 1,0.2
54,Phytohormone,RP,Tryptophol,C10H11NO,5.33,162.09134,1,positive,,Level 1,0.2
55,Internal Standard,RP,"Indole 3 Acetic Acid, D5",C10D5H4NO2,5.35,181.101988,1,positive,,Level 1,0.2
56,Lignin,RP,Acetovanillone,C9H10O3,5.38,167.07027,1,positive,,Level 1,0.2
57,Lignin,RP,p-Coumaric Acid,C9H8O3,5.385,165.05462,1,positive,,Level 1,0.2
58,Vitamin B12,RP,Coenzyme B12,C72H100CoN18O17P  ,5.4,790.3367,2,positive,,Level 1,0.2
59,Phytohormone,RP,IAA,C10H9NO2,5.41,176.07061,1,positive,,Level 1,0.2
60,Phytohormone,RP,Indole 3 carboxylic acid,C9H7NO2,5.44,162.05496,1,positive,,Level 1,0.2
61,Quorum sensing,RP,p-Coumoroyl-HSL,C13H13NO4,5.46,248.09173,1,positive,,Level 1,0.2
62,Lignin,RP,Syringaldehyde,C9H10O4,5.48,183.06519,1,positive,,Level 1,0.2
63,Lignin,RP,Acetosyringone,C10H12O4,5.765,197.08084,1,positive,,Level 1,0.2
64,Lignin,RP,Ferulic Acid,C10H10O4,5.97,195.06519,1,positive,,Level 1,0.2
65,Lignin,RP,Sinaptic Acid,C11H12O5,5.985,225.07575,1,positive,,Level 1,0.2
66,Lignin,RP,trans cinnamic acid,C9H8O2,6.2,131.0492,1,positive,,Level 1,0.2
67,Vitamin B12,RP,Methyl B12,C63H91CoN13O14P,6.29,672.8011,2,positive,,Level 1,0.2
68,Quorum sensing,RP,cinnamoyl-HSL,C13H13NO3,6.425,232.09682,1,positive,,Level 1,0.2
69,Antibiotic,RP,Tropodithietic acid,C8H4O3S2,6.47,212.96746,1,positive,,Level 1,0.2
70,Circadian,RP,Melatonin,C13H16N2O2,6.51,233.12845,1,positive,,Level 1,0.2
71,Phytohormone,RP,3 Indolepropionic Acid,C11H11NO2,6.66,190.08626,1,positive,,Level 1,0.2
72,Phytohormone,RP,Abscisic Acid,C15H20O4,6.7,247.1328,1,positive,,Level 1,0.2
73,Phytohormone,RP,Camalexin,C11H8N2S,6.96,201.0481,1,positive,,Level 1,0.2
74,Antioxidant,RP,Trolox,C14H18O4,7,neg,-1,negative,,Level 1,0.2
75,Phytohormone,RP,3-Indoleacetonitrile,C10H8N2,7.09,157.07602,1,positive,,Level 1,0.2
76,PUA,RP,"2,4 octadienal",C8H12O,7.23,125.0966,1,positive,,Level 1,0.2
77,Phytohormone,RP,Methyl indole 3 carboxylate,C10H9NO2,7.25,176.07061,1,positive,,Level 1,0.2
78,Phytohormone,RP,Indole 3 methyl acetate,C11H11NO2,7.31,190.08626,1,positive,,Level 1,0.2
79,Quorum sensing,RP,C8-HSL,C12H21NO3,7.36,228.15942,1,positive,,Level 1,0.2
80,Phytohormone,RP,3 Indolebutyric Acid,C12H13NO2,7.45,204.10191,1,positive,,Level 1,0.2
81,Phytohormone,RP,GA4,C19H24O5,8.18,neg,-1,negative,,Level 1,0.2
82,Quorum sensing,RP,3OC10-HSL,C14H23NO4,8.255,270.16998,1,positive,,Level 1,0.2
83,Sterol,RP,Cholesterol,C27H46O,8.5,387.3626,1,positive,,Level 1,0.2
84,Quorum sensing,RP,C10-HSL,C14H25NO3,9.21,256.19072,1,positive,,Level 1,0.2
85,Quorum sensing,RP,3OHC12-HSL,C16H29NO4,9.275,300.21693,1,positive,,Level 1,0.2
86,Quinone,RP,Coenzyme Q1,C14H18O4,9.35,251.12779,1,positive,,Level 1,0.2
87,Quorum sensing,RP,3OC12-HSL,C16H27NO4,9.75,298.20128,1,positive,,Level 1,0.2
88,PUA,RP,"2, 4 decadienal",C10H16O,9.855,153.12739,1,positive,,Level 1,0.2
89,Quorum sensing,RP,C12-HSL,C16H29NO3,10.35,284.22202,1,positive,,Level 1,0.2
90,Quorum sensing,RP,HHQ,C16H21NO,11.02,244.16959,1,positive,,Level 1,0.2
91,Quorum sensing,RP,C14-HSL,C18H33NO3,11.4,312.25332,1,positive,,Level 1,0.2
92,Antibiotic,RP,Monesin,C36H61NaO11,11.79,693.41843,1,positive,,Level 1,0.2
93,Vitamin rhodopsin,RP,Retinoic Acid,C20H28O2,11.97,301.21621,1,positive,,Level 1,0.2
94,Fatty Acid,RP,EPA,C20H30O2,12.095,303.23186,1,positive,,Level 1,0.2
95,Fatty Acid,RP,Arachidonic Acid,C20H32O2,12.15,305.24751,1,positive,,Level 1,0.2
96,Internal Standard,RP,"Arachiodonic Acid, D8",C20D8H24O2,12.15,313.29772,1,positive,,Level 1,0.2
97,Fatty Acid,RP,DHA,C22H32O2,12.23,329.24751,1,positive,,Level 1,0.2
98,Vitamin rhodopsin,RP,trans Retinal,C20H28O,12.52,285.22129,1,positive,,Level 1,0.2
99,Vitamin (fat soluble),RP,Vitamin D2,C28H44O,13.75,397.34649,1,positive,,Level 1,0.2
100,Sterol,RP,Ergosterol,C28H44O,13.76,379.3362,1,positive,,Level 1,0.2
101,Vitamin (fat soluble),RP,Tocotrienol,C29H44O2,13.88,425.34141,1,positive,,Level 1,0.2
102,Sterol,RP,7-dehydrocholesterol,C27H44O,13.89,367.3363,1,positive,,Level 1,0.2
103,Phospholipid synthesis,RP,1-oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine,C42H82NO8P,14.1,760.58508,1,positive,,Level 1,0.2
104,Quinone,RP,Vitamin K2,C31H40O2,14.14,445.31011,1,positive,,Level 1,0.2
105,Vitamin (fat soluble),RP,Tocopherol (Vit E),C29H50O2,14.725,431.38836,1,positive,,Level 1,0.2
106,Quinone,RP,Vitamin K1,C31H46O2,14.78,451.35706,1,positive,,Level 1,0.2
107,Phospholipid synthesis,RP,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,C41H79NO8P,14.9,744.55378,1,positive,,Level 1,0.2
108,Sterol precursor,RP,Squalene,C30H50,15.02,411.39853,1,positive,,Level 1,0.2
109,Antioxidant pigment,RP,Carotene,C40H56,16.42,536.43765,1,positive,,Level 1,0.2
110,Quinone,RP,Coenzyme Q10,C59H90O4,16.61,863.69119,1,positive,,Level 1,0.2
111,Lignin,HILIC,Ethyl 3 aminobenzoate,C9H11NO2,2.01,166.08626,1,positive,,Level 1,
112,Lignin,HILIC,Ethyl Dihydroxybenzoate,C9H10O4,2.08,181.0501,-1,negative,,Level 1,
113,Quorum sensing,HILIC,PQS,C16H21NO2,2.16,260.16451,1,positive,,Level 1,
114,Antioxidant,HILIC,Salicylic Acid,C7H6O3,2.2,137.0234,-1,negative,,Level 1,
115,Phytohormone,HILIC,Indole 3 Pyruvic Acid,C11H9NO3,2.375,202.0509,-1,negative,,Level 1,
116,Phytohormone,HILIC,Indole 3 carbinol,C9H9NO,2.395,146.0603,-1,negative,,Level 1,
117,Organic Acid,HILIC,Lipoic Acid,C8H14O2S2,2.42,205.03624,-1,negative,,Level 1,
118,Sulfur,HILIC,MESNA,C2H5O3S2,2.67,140.9676,-1,negative,,Level 1,
119,Vitamin,HILIC,Vitamin B3,C6H5NO2,2.68,124.0393,1,positive,,Level 1,
120,Sulfur,HILIC,MTA,C11H15N5O3S,2.96,296.0826,-1,negative,,Level 1,
121,Nucleic Acid,HILIC,Adenine,C5H5N5,3,134.0462,-1,negative,,Level 1,
122,Nucleic Acid,HILIC,Thymine,C5H6N2O2,3,125.03565,-1,negative,,Level 1,
123,Nucleoside,HILIC,Thymidine,C10H14N2O5,3.27,241.08299,-1,negative,,Level 1,
124,Sulfur,HILIC,N-acetyltaurine,C4O4S1H8N,3.74,166.0172,-1,negative,,Level 1,
125,Nucleic Acid,HILIC,Uracil,C4H4N2O2 ,4,111.0194,-1,negative,,Level 1,
126,Intracellular signaling,HILIC,cAMP,C10H12N5O6P,4.06,328.04524,-1,negative,,Level 1,
127,Lignin,HILIC,Resorcylic Acid,C7H6O4,4.08,153.0185,-1,negative,,Level 1,
128,Organic Acid,HILIC,Orotic Acid,C5H4N2O4,4.195,155.0091,-1,negative,,Level 1,
129,Amino Acid,HILIC,Kynurenine,C10H12N2O3,4.345,209.0921,1,positive,,Level 1,
130,Nucleoside,HILIC,Adenosine,C10H13N5O4,5.26,266.08948,-1,negative,,Level 1,
