Compound.Type,organism,Column,ProVesicles,Compound.Name,Emperical.Formula,RT,mass,exact.mass,,z,polarity,reference,link,metlin,fragments,standard.available.
alarmone,,HILIC,yes,ppGpp,C10H17N5O17P4,NA,602.957,602.9569923,,-1,negative,Hauryliuk et al. 2015,,,,
alarmone,,HILIC,yes,pppGpp,C10H18N5O20P5,NA,682.923,682.9233232,,-1,negative,,,,,
unknown,,RP,yes,Protoporphyrinogen IX - CID: 4317,C34H40N4O4,NA,568.305,568.3049559,,1,positive,,,,,
unknown,,RP,yes,Protoporphyrin IX - CID: 5261,C34H34N4O4,NA,562.258,562.2580057,,1,positive,,,,,
unknown,,RP,yes,Heme B (protoheme IX) - CID: 3334,C34H32FeN4O4,NA,616.177,616.177353,,1,positive,,,,,
unknown,,RP,yes,Heme O - CID: 47204998,C49H58FeN4O5,NA,838.376,838.3757774,,1,positive,,,,,
unknown,,RP,yes,Heme A - CID: 47204997,C49H56FeN4O6,NA,852.355,852.3550431,,1,positive,,,,,
unknown,,RP,yes,Magnesium protoporphyrin IX - CID: 6325,C34H32MgN4O4,NA,584.227,584.2273979,,1,positive,,,,,
unknown,,RP,yes,Biliverdin IX - CID: 3783,C33H34N4O6,NA,582.248,582.247835,,1,positive,,,,,
pet unknown,,RP,no,shikimate HSL,C11H13NO6,NA,256.0815,255.0742872,,1,positive,,,,,
standard,,RP,yes,Riboflavin standard,,NA,383.15305,383.15305,,1,positive,,,,,
oxidation product,,RP,yes,GSSG,,NA,612.151978,612.151978,,1,positive,,,,,
"Pentose phosphate pathway, Entner-Doudoroff pathway",,HILIC,yes,6-phosphoglucanic acid,,NA,276.025,276.025,,-1,negative,,,,,
glycolysis intermediate,,HILIC,no,Glyceraldehyde 3-P,,NA,169.998,169.998,,-1,negative,,,,,
Pentose phosphate pathway,,HILIC,no,ribulose 5-P,,NA,229.011,229.011,,-1,negative,,,,,
Entner-Doudoroff pathway,,HILIC,yes,2-keto-3-deoxy-6-P-gluconic acid,,NA,258.014069,258.014069,,-1,negative,,,,,
EMP,,HILIC,yes,"fructose 1,6 P",,NA,339.996,339.996,,-1,negative,,,,,
,Vibrio sp.,,no,vibrindole A,C18H16N2,NA,260.131348,260.1313486,,NA,,Bell et al. 1994,https://pubchem.ncbi.nlm.nih.gov/compound/6452189,no,,
,,,no,copepodamide A,C44H75NO7S ,NA,NA,761.5264247,,NA,negative,Selander et al. 2015,,,"yes, QToF in SI",
,,,no,copepodamide B,C42H73NO7S ,NA,NA,735.5107747,,NA,negative,Selander et al. 2015,,,"yes, QToF in SI",
,,,no,copepodamide C,C40H71NO7S,NA,NA,709.4951246,,NA,negative,Selander et al. 2015,,,"yes, QToF in SI",
,,,no,copepodamide D,C44H73NO7S,NA,NA,759.5107747,,NA,negative,Selander et al. 2015,,,"yes, QToF in SI",
,,,no,copepodamide E,C42H71NO7S,NA,NA,733.4951246,,NA,negative,Selander et al. 2015,,,"yes, QToF in SI",
,,,no,copepodamide F,C40H69NO7S,NA,NA,707.4794745,,NA,negative,Selander et al. 2015,,,"yes, QToF in SI",
,,,no,copepodamide G,C22H45NO6S,NA,NA,451.2967591,,NA,positive,Selander et al. 2015,,,"yes, QToF in SI",
,,,no,copepodamide H,C22H43NO6S,NA,NA,449.281109,,NA,positive,Selander et al. 2015,,,"yes, QToF in SI",
algicide,Phaeobacter sp.,RP,no,Roseobacticide A,C16H12O3S,9.18,NA,284.050715,285.057915,NA,positive,,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide B,C16H12O2S,10.18,268.056,268.0558004,269.0630004,NA,positive,,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide C,C18H13NO2S ,10.23,NA,307.0666994,308.0738994,NA,positive,Seyedsayamdost et al 2011,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide D,C16H12O3S2 ,10.1,NA,316.0227857,317.0299857,NA,positive,Seyedsayamdost et al 2011,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide E,C16H12O2S2 ,10.9,NA,300.0278711,301.0350711,NA,positive,Seyedsayamdost et al 2011,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide F,C18H13NO2S2 ,11,NA,339.0387701,340.0459701,NA,positive,Seyedsayamdost et al 2011,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide G,C21H14O4S ,9.9,NA,362.0612797,363.0684797,NA,positive,Seyedsayamdost et al 2011,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide H,C21H14O3S ,10.8,NA,346.0663651,347.0735651,NA,positive,Seyedsayamdost et al 2011,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide I,C15H10O5S ,10.9,NA,302.0248942,303.0320942,NA,positive,Seyedsayamdost et al 2011,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide J,C30H18O4S2 ,NA,NA,506.0646506,507.0718506,NA,positive,Seyedsayamdost et al 2011,,,,
algicide,Phaeobacter sp.,RP,no,Roseobacticide K,C30H18O5S2 ,NA,NA,522.0595652,523.0667652,NA,positive,Seyedsayamdost et al 2011,,,,
